"Ejendomspriser på boligmarkedet efter priser på realiserede handler,"
"ejendomskategori, postnumre og tid"

" ";" ";" ";"1992K1";"1992K2";"1992K3";"1992K4";"1993K1";"1993K2";"1993K3";"1993K4";"1994K1";"1994K2";"1994K3";"1994K4";"1995K1";"1995K2";"1995K3";"1995K4";"1996K1";"1996K2";"1996K3";"1996K4";"1997K1";"1997K2";"1997K3";"1997K4";"1998K1";"1998K2";"1998K3";"1998K4";"1999K1";"1999K2";"1999K3";"1999K4";"2000K1";"2000K2";"2000K3";"2000K4";"2001K1";"2001K2";"2001K3";"2001K4";"2002K1";"2002K2";"2002K3";"2002K4";"2003K1";"2003K2";"2003K3";"2003K4";"2004K1";"2004K2";"2004K3";"2004K4";"2005K1";"2005K2";"2005K3";"2005K4";"2006K1";"2006K2";"2006K3";"2006K4";"2007K1";"2007K2";"2007K3";"2007K4";"2008K1";"2008K2";"2008K3";"2008K4";"2009K1";"2009K2";"2009K3";"2009K4";"2010K1";"2010K2";"2010K3";"2010K4";"2011K1";"2011K2";"2011K3";"2011K4";"2012K1";"2012K2";"2012K3";"2012K4";"2013K1";"2013K2";"2013K3";"2013K4";"2014K1";"2014K2";"2014K3";"2014K4";"2015K1";"2015K2";"2015K3";"2015K4";"2016K1";"2016K2";"2016K3";"2016K4";"2017K1"
"Realiseret handelspris"
" ";"Parcel-/rækkehus"
" ";" ";"5000 Odense C";4010;4001;3951;3884;3878;3872;4055;3970;4335;4595;4156;4291;4548;4725;4628;4917;4607;5246;5424;5445;5918;5956;6082;5619;6526;6697;7039;6909;6926;6954;7480;6659;6815;7013;6867;7142;7213;7353;7628;7516;7446;7932;7645;7622;7605;7348;8303;8734;8194;9886;9689;9763;10179;10713;11891;14054;13969;14211;14005;15304;14827;15503;15883;16027;15444;16445;16412;14226;14563;14505;14101;13325;15631;15552;14131;14356;14308;13946;14578;13764;12171;14471;14072;15301;13878;13401;14833;14485;14456;15405;14647;16460;15562;15977;16564;15062;17326;14775;15824;17272;16844
" ";" ";"5200 Odense V";4638;4674;3907;3790;4068;4331;4523;4352;4720;4893;4747;4649;4441;4395;5651;5086;5806;5249;5294;5277;6193;5800;5762;5667;5783;6663;6619;6598;7185;6617;6877;6684;5594;7177;7679;7639;6821;7334;7513;7667;6719;7773;7162;7821;6755;7242;7897;8547;7227;9081;7778;8321;8378;10310;10172;11158;11181;10666;12220;12711;14315;13004;12074;..;12695;12952;12564;..;11798;11502;11862;..;10229;10993;..;12079;12004;11416;10123;..;..;12234;9515;11258;..;9611;11206;11012;9397;11687;..;11626;11067;9857;9846;12835;11173;12016;12148;12761;12256
" ";" ";"5210 Odense NV";4376;4530;4929;4471;4418;4680;4851;4460;4617;4811;5010;5048;5333;5512;5311;5382;5498;5705;6033;6182;6449;6638;6930;6436;6887;7166;7643;7649;7679;7279;7545;7764;7127;7534;7613;7628;8500;8041;7688;7550;7893;7756;7313;7504;7475;8049;7729;7506;8183;8335;8516;8318;9305;9960;10562;11439;11954;12856;12594;13046;13719;14401;13918;13374;13612;13982;14339;13501;11459;12000;12598;12398;13026;12310;12677;12934;12807;11775;11314;10876;11239;11673;11291;11700;10703;11224;11558;11290;10752;11701;11713;11421;12173;12474;12476;12096;12654;12767;13559;13329;11120
" ";" ";"5220 Odense SØ";4776;4541;3999;4785;3995;4186;4498;5194;4904;4988;5287;5575;5183;5168;5778;5337;6037;6297;6235;6940;6273;6391;7139;7227;7683;7649;7765;7523;7974;7763;8135;7748;7652;7670;7498;8158;7149;8186;7970;7673;8504;7929;6889;8699;6794;7804;7930;8483;8538;8859;9204;9195;9696;10010;11009;11417;13594;13052;13531;14620;13803;14636;14980;15060;15742;15631;14978;14107;13379;14241;12633;12408;13803;13008;13757;13049;11718;13202;13278;14399;12378;11479;13423;10152;11490;12625;12024;12787;12276;13462;13202;14568;14081;13788;13227;13870;14070;14084;15859;14014;13549
" ";" ";"5230 Odense M";4459;4466;4452;4518;4151;4538;4759;4393;5006;5022;5306;5082;5482;5357;5811;5624;5429;6194;5995;6261;6664;7346;6842;7810;6875;8455;7779;7898;7885;8284;7858;9183;8161;8499;8127;8396;8681;8593;8768;8772;8228;8889;9147;9418;8661;8980;9197;9652;10281;10206;9840;10362;12193;12334;14046;14817;16226;15962;18492;18209;18324;17429;15168;20233;15590;17461;18274;17437;14146;15838;17101;15378;14296;15728;16499;16173;14935;15373;14381;14231;14751;15287;16815;15380;14631;16793;16181;16101;15922;16748;15976;15384;15779;17662;17476;17469;17417;18662;18158;17878;18905
" ";" ";"5240 Odense NØ";4417;4428;4509;3718;4175;4727;4402;4530;5399;4812;4823;4796;4977;4825;5695;5427;5668;5452;5384;6336;6168;6250;6357;6702;7187;6574;7987;7616;7604;7511;6927;6706;6560;7503;6367;7680;7846;7515;7354;7977;7224;7112;7732;8170;6553;7530;7697;7107;7408;7514;8334;8259;7722;8979;9288;9251;11534;11582;11558;11478;12982;12291;12096;13915;13519;12383;11346;11594;..;10430;11715;11770;10921;11680;10634;12305;12723;11288;10489;..;..;10092;9296;9114;..;11622;10867;10351;10003;10207;10770;11054;8128;11917;10848;10903;10432;10784;12305;11852;12499
" ";" ";"5250 Odense SV";4293;4531;4523;4492;4363;4343;4614;4656;4803;4736;4704;4511;4918;5112;5335;5186;5660;5611;5736;5683;6203;6080;6563;7006;6975;7210;7652;7981;6738;7180;7521;7774;7401;7340;7307;7351;7684;7899;7360;7495;7622;7672;7824;7664;7703;7654;7827;7700;8390;8804;8924;9606;10503;10470;11843;11733;13142;13227;12819;14155;14737;15188;14664;15075;14112;15172;14490;14274;12350;13618;13090;13050;12428;13289;13046;13245;13089;12345;12463;12897;12571;13071;12108;11756;12704;12941;12416;12782;13330;12875;13106;13313;14064;13614;13895;14156;14486;14686;14848;14730;14671
" ";" ";"5260 Odense S";4306;4976;4664;4616;4596;4393;4618;5038;5333;4836;5240;5437;5222;5405;5483;5351;6199;6041;6529;6280;6357;5967;6968;7338;7171;7478;7784;7413;7208;7817;7769;7747;7377;7897;8085;7816;8457;7812;7879;7523;7954;8113;7981;7737;8232;7618;8156;7727;8718;8539;9907;9390;9337;9266;9981;10635;12040;12971;12447;13450;13684;14333;13502;12758;14351;13606;13775;12226;12692;12376;12217;12115;11043;12757;12442;12140;12827;12261;11049;10715;9595;11572;11247;11162;11843;11292;12449;11285;10377;11884;11240;11222;12457;12347;12570;13306;12832;12355;14171;13047;13862
